"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 7"
"https://www.google.com/maps/place/Sultan+Global+Printing+Bandung/data=!4m7!3m6!1s0x2e68e7ade84e4c0d:0xebcd74468b7d2df2!8m2!3d-6.8853563!4d107.614337!16s%2Fg%2F1pzxdzl5l!19sChIJDUxO6K3naC4R8i19i0Z0zes?authuser=0&hl=id&rclk=1","Sultan Global Printing Bandung","4,3","(280)","Layanan cetak digital","·","Jl. Dipati Ukur No.98","Buka","· Tutup pukul 00.00","·","0812-2067-076","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat oke harga sangat terjangkau tp internet sangat lambat..""","",""
"https://www.google.com/maps/place/Angkasa+Putra/data=!4m7!3m6!1s0x2e68e64581f57883:0x5cbf13edef1d9ab0!8m2!3d-6.8998537!4d107.6091431!16s%2Fg%2F1hm2txl3v!19sChIJg3j1gUXmaC4RsJod7-0Tv1w?authuser=0&hl=id&rclk=1","Angkasa Putra","4,5","(284)","Layanan cetak digital","·","·","Buka","· Tutup pukul 20.00","Jl. Tamansari No.27 C","(022) 4213000","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Print , penjilidan
laser cuting engrave akrilik , kayu dll
Terbaik""","","·"
"https://www.google.com/maps/place/Tiga+Putra/data=!4m7!3m6!1s0x2e68e6f8c14b20c9:0xccaf0fef0014934e!8m2!3d-6.8853141!4d107.6143539!16s%2Fg%2F11b60gm5tr!19sChIJySBLwfjmaC4RTpMUAO8Pr8w?authuser=0&hl=id&rclk=1","Tiga Putra","4,5","(65)","Toko Fotokopi","·","·","Buka 24 jam","","Jl. Dipati Ukur No.96 C","(022) 2510388","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sgt berdedikasi buat mgeprintnya ga asal print""","","·"
"https://www.google.com/maps/place/Baraka+Digital+Printing+Taman+Sari/data=!4m7!3m6!1s0x2e68e79673fd0893:0xc7cdc2d96f8f2e64!8m2!3d-6.8951388!4d107.608682!16s%2Fg%2F11wqlxffjw!19sChIJkwj9c5bnaC4RZC6Pb9nCzcc?authuser=0&hl=id&rclk=1","Baraka Digital Printing Taman Sari","5,0","(17)","Pemasok peralatan percetakan","·","Jl. Tamansari No.63A","Buka 24 jam","","·","0821-2800-0377","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""recommend banget deh pokonya buat kebutuhan kampus dll""","",""
"https://www.google.com/maps/place/Rindu+Dago+Digital+Printing+%26+Copier/data=!4m7!3m6!1s0x2e68e6f924ae1f07:0x2702d20bd94addf3!8m2!3d-6.8836784!4d107.6146316!16s%2Fg%2F1hc19_vjz!19sChIJBx-uJPnmaC4R891K2QvSAic?authuser=0&hl=id&rclk=1","Rindu Dago Digital Printing & Copier","2,9","(170)","Layanan cetak digital","·","·","Buka 24 jam","","Jl. Tubagus Ismail No.1","0812-9108-1884","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lelet bgt padahal ngeprint 2 lembar orng lagi buru"" Malah ngobrol terus""","","·"
"https://www.google.com/maps/place/Boy+Jaya/data=!4m7!3m6!1s0x2e68e65a7dbbff5d:0xd1422fdbc3af9551!8m2!3d-6.8949511!4d107.6094573!16s%2Fg%2F1pzrxn7x1!19sChIJXf-7fVrmaC4RUZWvw9svQtE?authuser=0&hl=id&rclk=1","Boy Jaya","","","Toko Fotokopi","·","Jl. Gelap Nyawang No.05","Buka","· Tutup Sen pukul 08.00","·","(022) 91598194","","Rute","","","",""
"https://www.google.com/maps/place/Duta+Copy+Centre/data=!4m7!3m6!1s0x2e68e65ad8177089:0x513cc8f2bf86dc9e!8m2!3d-6.8980588!4d107.6077412!16s%2Fg%2F1hc0t6r1b!19sChIJiXAX2FrmaC4RntyGv_LIPFE?authuser=0&hl=id&rclk=1","Duta Copy Centre","5,0","(1)","Toko Fotokopi","·","Jl. Kebon Bibit No.3, RW.02","","","","(022) 4238317","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan nya ok punya""","",""
"https://www.google.com/maps/place/Delta+Digital+Printing+24+jam/data=!4m7!3m6!1s0x2e68e70079ff62d5:0xa6ff475aeed6a773!8m2!3d-6.8859423!4d107.6148558!16s%2Fg%2F11wp4sn65_!19sChIJ1WL_eQDnaC4Rc6fW7lpH_6Y?authuser=0&hl=id&rclk=1","Delta Digital Printing 24 jam","3,9","(15)","Layanan cetak digital","·","Jl. Dipati Ukur No.122","Buka 24 jam","","·","0812-2266-6053","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bisa cetak spanduk/banner juga""","",""
"https://www.google.com/maps/place/Photo+Copy+Amanah/data=!4m7!3m6!1s0x2e68e6456cf69fa3:0x15f5fad8fb7645a9!8m2!3d-6.8989994!4d107.6083813!16s%2Fg%2F11c5h2hwtx!19sChIJo5_2bEXmaC4RqUV2-9j69RU?authuser=0&hl=id&rclk=1","Photo Copy Amanah","","","Toko Fotokopi","·","Gg. Pancasila No.241","Buka","· Tutup pukul 23.00","·","0858-4656-4060","","Rute","","","",""
"https://www.google.com/maps/place/Fotokopi+Jaya+Abadi/data=!4m7!3m6!1s0x2e68e65388865c6f:0x1727b5d00ae5af84!8m2!3d-6.8920519!4d107.6177354!16s%2Fg%2F11bbwywr4q!19sChIJb1yGiFPmaC4RhK_lCtC1Jxc?authuser=0&hl=id&rclk=1","Fotokopi Jaya Abadi","4,5","(1.242)","Toko Fotokopi","·","·","Buka 24 jam","","Jl. Dipati Ukur No.269","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pegawai ramah, kualitas print bagus dengan harga yang murah.""","",""
"https://www.google.com/maps/place/Barokah+Photocopy/data=!4m7!3m6!1s0x2e68e645720ed3d5:0xc5112aa0b68698b2!8m2!3d-6.8992895!4d107.6085527!16s%2Fg%2F11b682p3kh!19sChIJ1dMOckXmaC4RspiGtqAqEcU?authuser=0&hl=id&rclk=1","Barokah Photocopy","","","Toko Fotokopi","·","4J25+7CM, Jl. Sulanjana","Segera tutup","· 19.00 · Buka Sen pukul 08.00","·","0852-9257-7622","","Rute","","","",""
"https://www.google.com/maps/place/Fotocopy+Ciungwanara/data=!4m7!3m6!1s0x2e68e650580ab3cd:0x8270c3db2d84b267!8m2!3d-6.8946802!4d107.6118229!16s%2Fg%2F11gfgz8l8_!19sChIJzbMKWFDmaC4RZ7KELdvDcII?authuser=0&hl=id&rclk=1","Fotocopy Ciungwanara","4,7","(31)","Printer Digital","·","Jl. Ciungwanara No.14","Tutup","· Buka Sen pukul 08.00","·","0812-2030-1095","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasilnya Bagus, pengerjaannya cepat, makanya fotocopy disini full senyum""","",""
"https://www.google.com/maps/place/Jabar+Cantika/data=!4m7!3m6!1s0x2e68e65aa8ec45ff:0x612fb2e1f3e3fe95!8m2!3d-6.8967004!4d107.6093497!16s%2Fg%2F11b6bsx6py!19sChIJ_0XsqFrmaC4Rlf7j8-GyL2E?authuser=0&hl=id&rclk=1","Jabar Cantika","","","Toko Fotokopi","·","Jl. Pelesiran No.1","Buka","· Tutup pukul 20.00","·","0819-3145-2661","","Rute","","","",""
"https://www.google.com/maps/place/Fotocopy+Bandung/data=!4m7!3m6!1s0x2e68e7006e3c1483:0x11ac2758abb4d198!8m2!3d-6.8950616!4d107.6090799!16s%2Fg%2F11x83wgq98!19sChIJgxQ8bgDnaC4RmNG0q1gnrBE?authuser=0&hl=id&rclk=1","Fotocopy Bandung","5,0","(1)","Layanan cetak digital","·","Jl. Tamansari No.60","Tutup","· Buka Sen pukul 08.00","·","0851-8763-5665","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Print tugas, foto, jual ATK juga""","",""
"https://www.google.com/maps/place/Sinar+Puri/data=!4m7!3m6!1s0x2e68e656414d9a37:0x2d651a26dd1d44bd!8m2!3d-6.8884481!4d107.6137776!16s%2Fg%2F1pzq_bzvb!19sChIJN5pNQVbmaC4RvUQd3SYaZS0?authuser=0&hl=id&rclk=1","Sinar Puri","","","Toko Fotokopi","·","JL. Insinyur Haji Juanda, No. 414-A, Dago, Coblong","","","","(022) 2507474","","Rute","","","",""
"https://www.google.com/maps/place/SALMAN+FOTOCOPY+CENTER/data=!4m7!3m6!1s0x2e68e7a88e3de907:0x23f7f025e8955810!8m2!3d-6.8945008!4d107.6110438!16s%2Fg%2F11t9_6twks!19sChIJB-k9jqjnaC4REFiV6CXw9yM?authuser=0&hl=id&rclk=1","SALMAN FOTOCOPY CENTER","4,5","(11)","Toko Percetakan","·","Jl. Ganesa 7, Toko No.10","Tutup","· Buka Sen pukul 07.30","·","0857-9803-4205","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga terjangkau untuk mahasiswa.""","",""
"https://www.google.com/maps/place/Tirta+Anugrah/data=!4m7!3m6!1s0x2e68e63082c5e0fb:0x9e2aa5c4860a3810!8m2!3d-6.8982458!4d107.6107361!16s%2Fg%2F1pzqj203q!19sChIJ--DFgjDmaC4REDgKhsSlKp4?authuser=0&hl=id&rclk=1","Tirta Anugrah","4,2","(2.246)","Layanan cetak digital","·","·","Tutup","· Buka Sen pukul 09.00","Jl. Cikapayang No.14","(022) 2536257","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat digital printing segala bisa, harga affordable kualitas top !""","","·"
"https://www.google.com/maps/place/CORALTOGEL/data=!4m7!3m6!1s0x2e68e75cc86eb419:0x23bffeef2471c1bd!8m2!3d-6.8914375!4d107.6153125!16s%2Fg%2F11yw4srxsd!19sChIJGbRuyFznaC4RvcFxJO_-vyM?authuser=0&hl=id&rclk=1","CORALTOGEL","","","Layanan cetak digital","·","4J58+C46","Buka 24 jam","","·","0852-5721-5730","","Situs Web","","","",""
"https://www.google.com/maps/place/Setia+Abadi.+CV/data=!4m7!3m6!1s0x2e68e65b70647557:0x1ff41fe9d3166374!8m2!3d-6.8953969!4d107.6057324!16s%2Fg%2F1pzs23_3b!19sChIJV3VkcFvmaC4RdGMW0-kf9B8?authuser=0&hl=id&rclk=1","Setia Abadi. CV","","","Toko Fotokopi","·","Jl. Pelesiran No.77, RW.02","","","","(022) 2516823","","Rute","","","",""
"https://www.google.com/maps/place/Widji/data=!4m7!3m6!1s0x2e68e64f83fe5d9d:0x64998b5d0ec0b544!8m2!3d-6.8996597!4d107.6097697!16s%2Fg%2F11b67jxd0_!19sChIJnV3-g0_maC4RRLXADl2LmWQ?authuser=0&hl=id&rclk=1","Widji","4,2","(127)","Layanan cetak digital","·","Jl. Tamansari No.62","Tutup","· Buka Sen pukul 09.00","·","0813-8388-8662","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga bersaing (5/5) rekomendasi

Terimakasih""","",""
"https://www.google.com/maps/place/rtch+print+shop/data=!4m7!3m6!1s0x2e68e704b8b87427:0x3c151541104dc9e8!8m2!3d-6.8904025!4d107.6050843!16s%2Fg%2F11s2lsmw1d!19sChIJJ3S4uATnaC4R6MlNEEEVFTw?authuser=0&hl=id&rclk=1","rtch print shop","5,0","(6)","Layanan cetak digital","·","Jl. Cihampelas No.31/35b","","","","0812-2025-7818","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pokonya tidak bakalan kecewa hasilnya""","",""
"https://www.google.com/maps/place/Mufri+Photo+Copy/data=!4m7!3m6!1s0x2e68e6543fa5fc0b:0x941b8293fa5ceac!8m2!3d-6.8905361!4d107.6169496!16s%2Fg%2F11bbwy_8gg!19sChIJC_ylP1TmaC4RrM6lPym4QQk?authuser=0&hl=id&rclk=1","Mufri Photo Copy","4,5","(15)","Toko Fotokopi","·","Jl. Dipati Ukur No.68C","Buka","· Tutup pukul 22.00","·","(022) 2509442","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat fotocopy yg bagus, pelayanannya cepat dan ramah,""","",""
"https://www.google.com/maps/place/Nur+Printing+Solution/data=!4m7!3m6!1s0x2e68e6507db5da35:0x447cec776ea46843!8m2!3d-6.8949722!4d107.6109237!16s%2Fg%2F11b6nj85s1!19sChIJNdq1fVDmaC4RQ2ikbnfsfEQ?authuser=0&hl=id&rclk=1","Nur Printing Solution","5,0","(8)","Toko Percetakan","·","·","Tutup","· Buka Sen pukul 08.00","Jl. Gelap Nyawang No.5B","0857-2207-1800","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Order kecil pun dilayani maksimal.""","","·"
"https://www.google.com/maps/place/BNB+Digital+Printing/data=!4m7!3m6!1s0x2e68e78c70594701:0x403881bcad9df26!8m2!3d-6.8945022!4d107.6081769!16s%2Fg%2F11fq8q_ck8!19sChIJAUdZcIznaC4RJt_ZyhuIAwQ?authuser=0&hl=id&rclk=1","BNB Digital Printing","","","Layanan cetak digital","·","Jl. Kebun Binatang No.15c 56","","","","0852-2250-3060","","Rute","","","",""
"https://www.google.com/maps/place/Union+Sablon+Express+%7C+Sablon+Satuan+%7C+Sablon+DTF+%7C+Sablon+Bandung+%7C+Sablon+Cepat+%7C+Sablon+Kaos+%7C/data=!4m7!3m6!1s0x2e68e7b3201c060d:0xf5e44b8e9a5c1e3e!8m2!3d-6.8988135!4d107.6087699!16s%2Fg%2F11y48_09gv!19sChIJDQYcILPnaC4RPh5cmo5L5PU?authuser=0&hl=id&rclk=1","Union Sablon Express | Sablon Satuan | Sablon DTF | Sablon Bandung | Sablon Cepat | Sablon Kaos |","5,0","(44)","Layanan cetak digital","·","Balubur Town Square, Blk. G Jl. Tamansari No.02 Lantai 1","Segera tutup","· 19.00 · Buka Sen pukul 10.00","·","0896-7083-0760","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sablonan nya sangat bagus , pengerjaannya cepat dan harganya murah 👍""","",""
"https://www.google.com/maps/place/Bola+Dunia/data=!4m7!3m6!1s0x2e68e6457f4a5bf3:0xb6201ad1042d25ef!8m2!3d-6.8999396!4d107.6091803!16s%2Fg%2F1hc3mqk4l!19sChIJ81tKf0XmaC4R7yUtBNEaILY?authuser=0&hl=id&rclk=1","Bola Dunia","4,4","(240)","Toko Fotokopi","·","·","Tutup","· Buka Sen pukul 07.15","Jl. Tamansari No.27 A","0895-2482-0006","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil nya bagus, layanan banyak, bisa burning cd dll""","","·"
"https://www.google.com/maps/place/CV+BNF+BANDUNG/data=!4m7!3m6!1s0x2e68e752547f7bbf:0xc6dc5e3c9f67c568!8m2!3d-6.9003634!4d107.6050266!16s%2Fg%2F11f9_dh9rg!19sChIJv3t_VFLnaC4RaMVnnzxe3MY?authuser=0&hl=id&rclk=1","CV BNF BANDUNG","4,6","(23)","Kantor Perusahaan","·","·","Buka 24 jam","","Jl. Cihampelas Gg. Margalaksana No.18/25","0896-2006-6883","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya bagus gercep,amanah,pokonya recommended,makasih 🙏🏻""","","·"
"https://www.google.com/maps/place/Gugum+Print+Photocopy+dan+Percetakan/data=!4m7!3m6!1s0x2e68e65389126ca5:0xa9e3f5df79758301!8m2!3d-6.8921085!4d107.6176028!16s%2Fg%2F11b60qyl9g!19sChIJpWwSiVPmaC4RAYN1ed_146k?authuser=0&hl=id&rclk=1","Gugum Print Photocopy dan Percetakan","4,5","(212)","Layanan cetak digital","·","·","Buka 24 jam","","Jl. Dipati Ukur No.42/60","0818-0224-7051","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan sangat bagus, cepat tanggap dan murah sekali, mantab sekali!""","","·"
"https://www.google.com/maps/place/Z3+Cell/data=!4m7!3m6!1s0x2e68e7ad15b7b037:0x554b564c7714d117!8m2!3d-6.9006751!4d107.6056964!16s%2Fg%2F11wqcqfm2q!19sChIJN7C3Fa3naC4RF9EUd0xWS1U?authuser=0&hl=id&rclk=1","Z3 Cell","","","Toko Fotokopi","·","Gg. Bongkaran, RT.01/RW.15","Buka","· Tutup pukul 22.00","·","0857-2349-1848","","Rute","","","",""
"https://www.google.com/maps/place/konter+lia+zona+3/data=!4m7!3m6!1s0x2e68e7007d7f2c9b:0x1f956e246285f2ee!8m2!3d-6.8985943!4d107.6045454!16s%2Fg%2F11y42_lnhw!19sChIJmyx_fQDnaC4R7vKFYiRulR8?authuser=0&hl=id&rclk=1","konter lia zona 3","5,0","(1)","Toko","·","Jl. Cihampelas Gg. Marga Setia No.342, RT.07/RW.07","Buka","· Tutup pukul 22.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terpercaya langsung kasih rating 5 😍""","",""
"https://www.google.com/maps/place/Araya+Copy+Center+24JAM+%23PastiBuka/data=!4m7!3m6!1s0x2e68e766083c07d7:0x12ea87c72196d2dc!8m2!3d-6.8960052!4d107.5993813!16s%2Fg%2F11jxxwl8kn!19sChIJ1wc8CGbnaC4R3NKWIceH6hI?authuser=0&hl=id&rclk=1","Araya Copy Center 24JAM #PastiBuka","4,7","(70)","Toko Fotokopi","·","Jl. Kesehatan No.1","Buka 24 jam","","·","0813-2231-3111","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""kualitasnya juga top, jadi kamu gak perlu khawatir.""","",""
"https://www.google.com/maps/place/A.+Boy+Jaya/data=!4m7!3m6!1s0x2e68e653861fb71f:0x9e48e57acb6bccf!8m2!3d-6.8921255!4d107.6178397!16s%2Fg%2F11bbwy_t55!19sChIJH7cfhlPmaC4Rz7y2rFeO5Ak?authuser=0&hl=id&rclk=1","A. Boy Jaya","4,5","(90)","Toko Fotokopi","·","·","Buka 24 jam","","Jl. Dipati Ukur No.267","(022) 2511066","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Salah satu tempat","","·"
"https://www.google.com/maps/place/Anten+Toko/data=!4m7!3m6!1s0x2e68e644e46a6435:0x73e2ea09ecc6195!8m2!3d-6.898364!4d107.605963!16s%2Fg%2F1jkz939pl!19sChIJNWRq5ETmaC4RlWHMnqAuPgc?authuser=0&hl=id&rclk=1","Anten Toko","","","Toko Fotokopi","·","Jl. Kb. Bibit Sel. No.25","","","","(021) 88349806","","Rute","","","",""
"https://www.google.com/maps/place/Borobudur+Printing/data=!4m7!3m6!1s0x2e68e65b605ec3ff:0x3cc5122c08ae992!8m2!3d-6.9000196!4d107.6039965!16s%2Fg%2F1hc8ypd0j!19sChIJ_8NeYFvmaC4RkumKwCJRzAM?authuser=0&hl=id&rclk=1","Borobudur Printing","4,2","(160)","Layanan cetak digital","·","·","Tutup","· Buka Sen pukul 08.00","Jl. Cihampelas No.85","0851-8686-2285","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Murah harga Fotocopy A1 Hitam putih cuma 7.500/Lembar""","","·"
"https://www.google.com/maps/place/Family+Internet+%26+Print/data=!4m7!3m6!1s0x2e68e65268dde9e9:0x91a9e7a8525f3ea8!8m2!3d-6.8961363!4d107.6174767!16s%2Fg%2F1pzs29sny!19sChIJ6endaFLmaC4RqD5fUqjnqZE?authuser=0&hl=id&rclk=1","Family Internet & Print","4,0","(5)","Toko Fotokopi","·","Jl. Singa Perbangsa No.1B","Buka","· Tutup pukul 22.00","·","0852-2264-8971","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat","",""
"https://www.google.com/maps/place/NGI+Copy+Center/data=!4m7!3m6!1s0x2e68e6f8afa7cf27:0x409e549f66ba9736!8m2!3d-6.8863903!4d107.6149872!16s%2Fg%2F11bzvt7q8n!19sChIJJ8-nr_jmaC4RNpe6Zp9UnkA?authuser=0&hl=id&rclk=1","NGI Copy Center","4,0","(4)","Toko Fotokopi","·","Jl. Dipati Ukur No.120","Tutup","· Buka Sen pukul 07.00","·","(022) 20450558","","Rute","","","",""
"https://www.google.com/maps/place/Prima+CST+Copy+Center/data=!4m7!3m6!1s0x2e68e6560b8b7297:0xc5fb34ea5de9006a!8m2!3d-6.8878153!4d107.6154817!16s%2Fg%2F11bc7pr08g!19sChIJl3KLC1bmaC4RagDpXeo0-8U?authuser=0&hl=id&rclk=1","Prima CST Copy Center","","","Toko Fotokopi","·","Jl. Dipati Ukur No.96","Tutup","· Buka Sen pukul 07.00","·","(022) 2533677","","Rute","","","",""
"https://www.google.com/maps/place/Prisma+Jaya+Photocopy/data=!4m7!3m6!1s0x2e68e65388af8955:0xf37f1022a91e3f50!8m2!3d-6.8922493!4d107.6175565!16s%2Fg%2F11gh22dzqr!19sChIJVYmviFPmaC4RUD8eqSIQf_M?authuser=0&hl=id&rclk=1","Prisma Jaya Photocopy","3,6","(18)","Toko Fotokopi","·","No.60 Blok 60, Jl. Teuku Umar","Buka","· Tutup pukul 20.00","·","0881-0228-87770","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus, kerjanya cepat dan rapih, jilid hard cover bisa ditunggu""","",""
"https://www.google.com/maps/place/AKHBAR+PRINT/data=!4m7!3m6!1s0x2e68e6567564513b:0x62c481d596518d35!8m2!3d-6.8883772!4d107.6156723!16s%2Fg%2F1hc6295vc!19sChIJO1FkdVbmaC4RNY1RltWBxGI?authuser=0&hl=id&rclk=1","AKHBAR PRINT","4,5","(190)","Layanan cetak digital","·","·","Tutup","· Buka Sen pukul 09.00","Jl. Dipati Ukur No.88","0812-1423-2144","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Print segala bisa, hasil bagus, admin sangat helpful, ramah dan baik.""","","·"
"https://www.google.com/maps/place/Lab.+Fabrikasi+dan+Komputer+AR+ITB/data=!4m7!3m6!1s0x2e68e7d5e6e10259:0x7cf83a8bae022edb!8m2!3d-6.8902788!4d107.6122378!16s%2Fg%2F11k9mw90k_!19sChIJWQLh5tXnaC4R2y4Cros6-Hw?authuser=0&hl=id&rclk=1","Lab. Fabrikasi dan Komputer AR ITB","","","Layanan cetak digital","·","Gd. Arsitektur ITB, Labtek IX-B Jl. Ganesa No.10 Lt. Basement","Tutup","· Buka Sen pukul 08.00","","","","Rute","","","",""
"https://www.google.com/maps/place/Top+copy+center/data=!4m7!3m6!1s0x2e68e652104daeb1:0x6317fc8bfaacc453!8m2!3d-6.896317!4d107.616525!16s%2Fg%2F1pzx8sh_z!19sChIJsa5NEFLmaC4RU8Ss-ov8F2M?authuser=0&hl=id&rclk=1","Top copy center","4,5","(17)","Toko Fotokopi","·","Jl. Dipati Ukur No.38","Tutup","· Buka Sen pukul 08.00","·","(022) 2503648","","Rute","","","",""
