"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 6","M4A5Cf"
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Mozes/data=!4m7!3m6!1s0x2e7a5987787f3229:0x5230ae916b29d579!8m2!3d-7.7759066!4d110.3911951!16s%2Fg%2F11kt3hh3y7!19sChIJKTJ_eIdZei4RedUpa5GuMFI?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Mozes","3,9","(7)","","","Tegal","·","","69FR+JFP, Jl. Moses Gatotkaca","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEma0u9fHjovJdAh696Lq5M_jJHJaDPtnJsNmTLZFuvzW5ER1vvckJqKrBWCGigHeGUFsCVZuSwialK4znaFFLjy7QqS8HfoDQ224Mz0wNasF-tSEzbO5xJcaQFaKRX3Csb9CA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih dan Bapak dan Ibu yg ngelayanin juga baik2.""","","","",""
"https://www.google.com/maps/place/Warteg+Mukti+Bahari+Ambarrukmo/data=!4m7!3m6!1s0x2e7a59c1a0faa431:0x494aa2c188cf62ae!8m2!3d-7.7831585!4d110.4041018!16s%2Fg%2F11y8bq88_5!19sChIJMaT6oMFZei4RrmLPiMGiSkk?authuser=0&hl=id&rclk=1","Warteg Mukti Bahari Ambarrukmo","4,8","(30)","·","Rp 1–25.000","Tegal","·","","Jl. Laksda Adisucipto, Ambarukmo, Demangan, Kec. Depok, Kabupaten Sleman","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGARd4vcvV4cpToNjLEY5_hf_lVZRCA1bGNIqLfZO1guFxQFE9tktl0jFY3HUWnWCKmrgPIBLcX8OuR7qRXyfFZKpU56SxRtkcFrfZtHWe9PI1Bt1LfW9bO9HGeWAmTJCKavais=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak, Murah 👍""","","","",""
"https://www.google.com/maps/place/WARTEG+KHARISMA+BAHARI+Premier/data=!4m7!3m6!1s0x2e7a5919b9c643d5:0x328d5e68edce9565!8m2!3d-7.7847575!4d110.3997986!16s%2Fg%2F11y377qyw8!19sChIJ1UPGuRlZei4RZZXO7WhejTI?authuser=0&hl=id&rclk=1","WARTEG KHARISMA BAHARI Premier","5,0","(7)","·","Rp 1–25.000","Tegal","·","","Jl. Nogorojo No.1","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFJcwOyjzO-mNzaF0aQkluuw8Cj94HU5ly5YkeF1yKgFtzg8WjDVmous1AWoYPNWjpxXR_CeBvd7i2m0M-uVHh3Fpc17gm4zrizwaIJMsnq4RsslBstx_RQpovmMgPMvp-z_oBQ=w204-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Variasi lauk pauk dan sayuran komplit dan enak.""","","","",""
"https://www.google.com/maps/place/WARTEG+KHARISMA+BAHARI/data=!4m7!3m6!1s0x2e7a59ca34c27e07:0x60f5fbeb49595be!8m2!3d-7.7771553!4d110.3832597!16s%2Fg%2F11vw_wrwn2!19sChIJB37CNMpZei4RvpWVtL5fDwY?authuser=0&hl=id&rclk=1","WARTEG KHARISMA BAHARI","4,9","(7)","","","Restoran","·","","Jl. Colombo No.14","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfMIZv0pEYNXXF_hwbUsYP7HnlpIg1wxi-DNbEE8HF2PkzFoaXDEh950IA0dCL7DbM8qQK0jow_AZhleMK3OZUrLw1ZezC3ukAVnw8ae4XZIvr-xJvpw9ByhFs5N7KgXRvEfSWJQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wartegnya bersih, bapanya ramah dan cepet nanggepin pelanggan.""","","","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Jogja/data=!4m7!3m6!1s0x2e7a5951cd22f649:0x3e01a26009283128!8m2!3d-7.7598238!4d110.4124766!16s%2Fg%2F11t825lsl6!19sChIJSfYizVFZei4RKDEoCWCiAT4?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Jogja","4,1","(126)","·","Rp 1–25.000","Tegal","·","","","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFPSZF0h3YnMG3vHWRnayR6bABTIh7hZ1MxDrF7psNyjHXaPMgnyLnpUOpu1lw2NaZujt55JGiQ8MvhtNqJOiB0aa7aFYS4SHxouiw0xgVIn7KoSlGzcHmgU5GzxQ6KUL3pRC7PrA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, bervariasi, harga agak mahal dari","warteg","biasanya.""","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Nologaten/data=!4m7!3m6!1s0x2e7a597234e8f169:0x1057e3c80b1cf442!8m2!3d-7.7781212!4d110.4003479!16s%2Fg%2F11ts1bkl4c!19sChIJafHoNHJZei4RQvQcC8jjVxA?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Nologaten","4,4","(121)","·","Rp 1–25.000","Masakan Asia","·","","·","Jl. Nologaten No.215","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHn8btgwDmhEgg-hkpm2P-yZiHNiEVBVSZNFIJ558JPHyyQXBZqXZzKUnAgL1A9WIAPgbE14FhkhUw3SnIX8OYODA1yokpiq9wglSutW0Fm67p9jgKSznrwAgYVWrkyluokfZwG=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recomended  nih","warteg","murah enak banget""","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Hayam+Wuruk/data=!4m7!3m6!1s0x2e7a59002d60b08d:0xc9dc62f276864b7f!8m2!3d-7.7913875!4d110.3740597!16s%2Fg%2F11vyc1tn_p!19sChIJjbBgLQBZei4Rf0uGdvJi3Mk?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Hayam Wuruk","3,4","(18)","·","Rp 1–25.000","Tegal","·","","Jl. Hayam Wuruk No.120","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSgRQC3x-ogMPzXzt_qRefjpcmn7kUedPAnAfTBW0CUOS20xwMxEEIlXsZYZqOjw04J9cV0UnzEauXlmrJcMfFa3-jFsBYCU-pbX-6jxPdlpqH5UZH8uPsC0uXS2gZgA-kWlpyl0hx1gT0=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat luas, bersih, makanan juga enak.""","","","",""
"https://www.google.com/maps/place/Warteg+Putra+Bahari+HD+311+Pandega+Marta/data=!4m7!3m6!1s0x2e7a590078e3b201:0x782e2826ee7ed9c6!8m2!3d-7.7556434!4d110.3773924!16s%2Fg%2F11vk4rbzt3!19sChIJAbLjeABZei4Rxtl-7iYoLng?authuser=0&hl=id&rclk=1","Warteg Putra Bahari HD 311 Pandega Marta","4,5","(84)","·","Rp 1–25.000","Tegal","·","","·","Jl. Pandega Marta No.320A","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEx-367-f8qY2GRPzjn3CCupc6aFvnXBWUEwWWyiMvJ1UuTsTx6oXoOLsWS6rcG8aQv2LW6seKmp1jEKVV2OJ89IbG5CXlPXW2JZm0C3yqbqlc9GMBiPHBtfrun0VCnxfhSH5wv=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","warteg","lumayan murah dg free es teh.""","",""
"https://www.google.com/maps/place/Warteg+Eman+Bahari/data=!4m7!3m6!1s0x2e7a590014044f79:0x7e51d4727e7dc105!8m2!3d-7.769439!4d110.4056417!16s%2Fg%2F11x6v__1j9!19sChIJeU8EFABZei4RBcF9fnLUUX4?authuser=0&hl=id&rclk=1","Warteg Eman Bahari","5,0","(16)","·","Rp 1–25.000","Indonesia","·","","6CJ4+767, Jl. Seturan I No.254","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFCsvOTDAGZRKYbj7UZwV1cf4FZXkiZVLtUkE1FfL8MxdWX-faVLcqs1wcSGOkBh6WYoQB6h1rVeqWAk7v03U1tk9thxVoDXnz_gCFPLJ1wjHClHngcCCVULwankhV3yRooqQXzKw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","langganan tapi sayang sekarang jauh...""","· Tutup pukul 00.00",""
"https://www.google.com/maps/place/Warteg+Berlian+Bahari/data=!4m7!3m6!1s0x2e7a59bfa02283d1:0xa2307e9b84680710!8m2!3d-7.7724677!4d110.3994997!16s%2Fg%2F11lnp0d49x!19sChIJ0YMioL9Zei4REAdohJt-MKI?authuser=0&hl=id&rclk=1","Warteg Berlian Bahari","3,6","(11)","·","Rp 1–25.000","Restoran","·","","Jl. Manggis No.82","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-bkeDyHzy1KMxB7S-T9e2dAHrwl45ourI47xHnvWMrItn57_t8an2lFjaXtIHmhH1KlLmsIWrzzmmmXydn6t8teiH2GfKCspN22y4VLrgOg78yZgg9pHwF80zVJyOnO3fEjpXtpFkmbal=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""🪑 tempat duduk leher L kapasitas 8.
Ada 2 meja kapasitas 8.""","","","",""
"https://www.google.com/maps/place/WarTeg+Kharisma+Bahari+Perumnas/data=!4m7!3m6!1s0x2e7a599bf8f6cd2b:0x9a77e499f5deecab!8m2!3d-7.7693089!4d110.4053946!16s%2Fg%2F11v0n38n9s!19sChIJK832-JtZei4Rq-ze9Znkd5o?authuser=0&hl=id&rclk=1","WarTeg Kharisma Bahari Perumnas","4,3","(35)","·","Rp 1–25.000","Tegal","·","","·","Jl. Perumnas No.216C","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHpLTcyn6C_cc5vh0DOyu_RQrhSPD8fzVPaf1vIRtImApYoqDTBGyzdJMPzRtPWBp0AU9F3To73cbWxtj7VI3ymg1tBKqSGcg-4iMJXGa0nW78LXrOndGDlSIZhGOHDHkCv96Cq=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recomended banget.""","","","",""
"https://www.google.com/maps/place/Warteg+SEDAP+RASA/data=!4m7!3m6!1s0x2e7a59581ee4eb13:0x88d57612ba91eb96!8m2!3d-7.7600488!4d110.4039907!16s%2Fg%2F11twr1fbhf!19sChIJE-vkHlhZei4RluuRuhJ21Yg?authuser=0&hl=id&rclk=1","Warteg SEDAP RASA","4,7","(12)","·","Rp 1–25.000","Restoran","·","","·","Jl. Wahid Hasyim No.171","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnb9rh5A6BY8pY5e4BFHaCEAB64qzo4iXc9atyiBVG_7TFPf0iz8cXEg5OlAGWaEzAeCWVwwa_f6-CJZ8Ln5wGvGl8h6YI8v-TmxEBlT3AO7Yx5x3KK7YM8Q6f5FNGHHkJe4A9v57s7Tm4=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Salah satu highlight dari","warteg","ini adalah tempatnya yang bersih.""","· Tutup pukul 20.02",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari/data=!4m7!3m6!1s0x2e7a590064b548e5:0x69b19f72b36196d2!8m2!3d-7.7567621!4d110.3723345!16s%2Fg%2F11x2cfd1vg!19sChIJ5Ui1ZABZei4R0pZhs3KfsWk?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari","2,4","(16)","·","Rp 1–25.000","Restoran","·","","Jl. Pandega Marta Jl. Pogung Lor No.107","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpVO_tm556bXeFeIWGCRf6kDgMZeFyeDIZGUioHUqJ_GhZQgP7Nt6M5nSUNvOuwgErloFz45HTQmDnTlHiDl4hzzcDpBdQqv1oYhFjMACnUmKLvFwMZ1BN4BuCFiF3a5L_i7EG=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanannya enak tapi porsinya sangat sedikit dan harganya mahal""","","","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Kledokan/data=!4m7!3m6!1s0x2e7a5931c6d7205b:0xd2a73892f9265d8d!8m2!3d-7.7763188!4d110.4085644!16s%2Fg%2F11tjnqgkg3!19sChIJWyDXxjFZei4RjV0m-ZI4p9I?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Kledokan","3,2","(63)","·","Rp 1–25.000","Tegal","·","","·","Jl. Raya Kledokan No.6","Buka sekarang","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF5HqlPjgMWR2kQf-B5cphmwM5K6FiSpKCUHm6xq__s6VikpvxoHduu2DgHfMyJ9VTpr3pGR5hkMVy0BTe1G37VxA8_ci_Nnc2Gle_vGTqZ0m1V4QbywHfk0ItQR6hP22KLx3lz=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","enak ini ikan asinnya dabestt 👍""","",""
"https://www.google.com/maps/place/Depot+Makan+SAJI/data=!4m7!3m6!1s0x2e7a5933122c5c87:0x427c13efb0be89c4!8m2!3d-7.7762883!4d110.4021452!16s%2Fg%2F11ks56xtfp!19sChIJh1wsEjNZei4RxIm-sO8TfEI?authuser=0&hl=id&rclk=1","Depot Makan SAJI","4,7","(105)","·","Rp 25–50 rb","Indonesia","·","","Balcos Compound, Jl. Kedawung","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFrbnkKR6-rU8ppDE96fgz7D2mpCncjVhzfzCtGXRjneHtBk6XQ7K6SYI744iRJe_V5ln_36ScGhKSB11LKSma05mY8EFokfRqzHG1iryO8_gTYFYqf_iQg9Xe-oTWJXJIg3bI=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya enakk, cuma agak kecil & meja kursinya engga terlalu banyakk.""","","","· Tutup pukul 22.00",""
"https://www.google.com/maps/place/Rumah+Makan+Rata+-+Rata/data=!4m7!3m6!1s0x2e7a59f04c59b375:0xcd373c59f51fa9aa!8m2!3d-7.7808345!4d110.4162168!16s%2Fg%2F11b6yng4gs!19sChIJdbNZTPBZei4Rqqkf9Vk8N80?authuser=0&hl=id&rclk=1","Rumah Makan Rata - Rata","4,4","(392)","·","Rp 1–25.000","Indonesia","·","","·","Ruko Babarsari BBC Plaza, Jl. Tambak Bayan","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJ4Zfajc2ju4Zuxf7D8m5O7Oa1gtxjjrqi668aL8bJRd_5I_A68C0xPhWsDp3NhRaD3WSJenHy4lw2NJasRai_-rJD5_vTmT3GMWHnN6ywDentkZ7Xp9Uz26WHPgapTjWyx0jQ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat makan sederhana dengan menu makanan rumahan.""","","","· Tutup pukul 20.00",""
"https://www.google.com/maps/place/Warteg+Putra+Bahari+HD+312+Candi+Gebang/data=!4m7!3m6!1s0x2e7a590035048943:0xe47a3df51edddc25!8m2!3d-7.7515275!4d110.4113803!16s%2Fg%2F11vk6nthpk!19sChIJQ4kENQBZei4RJdzdHvU9euQ?authuser=0&hl=id&rclk=1","Warteg Putra Bahari HD 312 Candi Gebang","4,8","(44)","·","Rp 1–25.000","Indonesia","·","","Jl. Candi Gebang No.246","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1gppi-AN8MpeT_4NNWCtOoRmB0KksLBW4HEgIv85x3MRYvGTw6dwVvPFyFsga5coQHr2o5OIXtYaR0ogLgNkQE3bcLGKrybwwLQBnEPb8Ubg1Xs2QGVY7G9btcjLi0bNGtn6g=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Soto Ayam nya Juara ini
Ga ada di","Warteg","lain 👍🏻👍🏻""","",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Mrican/data=!4m7!3m6!1s0x2e7a590050516343:0x6f20eb6ec3e806e!8m2!3d-7.7742685!4d110.3933967!16s%2Fg%2F11x1ljs0vw!19sChIJQ2NRUABZei4RboA-7LYO8gY?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Mrican","5,0","(2)","","","Tegal","·","","·","No.7Mrican, Jl. Pringgodani","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEl46wsJR6h2svjehzz1jmy8lp0bOaSRjaHgnU4IcWfYgN0JH5gVYOAReQrFqFHOOzVD01VfDwmjejdopKK6_WoCto5SsSc6h0W3Zqp5Ge34kjHbO5360i5OPS3Gy36uzXFC4u0=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih, menunya enak2!!""","","","· Tutup pukul 22.30",""
"https://www.google.com/maps/place/Warteg+Kharisma+Bahari+Pringwulung/data=!4m7!3m6!1s0x2e7a5973ad523f9f:0xe1bdc700892fce8!8m2!3d-7.7680139!4d110.3954379!16s%2Fg%2F11trtkb55f!19sChIJnz9SrXNZei4R6PySCHDcGw4?authuser=0&hl=id&rclk=1","Warteg Kharisma Bahari Pringwulung","4,0","(23)","·","Rp 1–25.000","Restoran","·","","Jl. Selokan Mataram, Ruko Jl. Tantular No.12i","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGoyBYwkXE9HdRKhh6zJIuksgTQarRgKqMfyRfWKyG3cDURaVgsxiHfa2WH53eIIjOdQi5neZa77vWXibNQm1XtRAJTNAvZxxRMb66_2NokskZKQ5cvhapX7m9c0phR1usDzzg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""selebihnya sama kyk","warteg","pada umumnya.""","· Tutup pukul 21.30",""
"https://www.google.com/maps/place/WarTeg+Mukti+Bahari+Perumnas/data=!4m7!3m6!1s0x2e7a59002e1586bf:0xef36193c29e01611!8m2!3d-7.7648067!4d110.4059489!16s%2Fg%2F11lyn0t5mw!19sChIJv4YVLgBZei4RERbgKTwZNu8?authuser=0&hl=id&rclk=1","WarTeg Mukti Bahari Perumnas","4,0","(7)","·","Rp 1–25.000","Nasi","·","","6CP4+39G, Jl. Perumnas","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEL8USjuMnrDfl2G5zi_qvKARgkIinDRQhOK2lxrwOVnBsbqJuRy5Ej8AqlMVZKjqAxkY_Ra5mDGzE2YPu6gYqNOExC1LYOBQOZaKbaWHCZXzAU_s-4b7bIzumw1TXzI8QvyM1gnQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sumpah menu udang baladonya enak tenan wajib cb""","","","",""
"https://www.google.com/maps/place/Warteg+Putra+Bahari+HD+Condong+Catur/data=!4m7!3m6!1s0x2e7a5900516a2eff:0x44612aaa2279ed7c!8m2!3d-7.7554728!4d110.3965306!16s%2Fg%2F11vzz3sz28!19sChIJ_y5qUQBZei4RfO15IqoqYUQ?authuser=0&hl=id&rclk=1","Warteg Putra Bahari HD Condong Catur","4,2","(50)","·","Rp 1–25.000","Tegal","·","","Ruko Kelapa Hijau, Jl. Anggajaya","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0_D9wVtUchX-RzAiEzO5_9XK_2yydrM85RYz-u9Db65iDONEyXB_g7xFGdneesLfFPJTJ3L0lUyV2I6gwDGUrOLIACF3jLFO2c6dIVq-J3wuO6tBJfTOaftFtJcRMDy6Jsq6l6EVjOTE=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nya cocok untuk kaum mendang mending""","","","",""
