"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","ah5Ghc 3","Jn12ke src"
"https://www.google.com/maps/place/Kedai+Seduh+Mie/data=!4m7!3m6!1s0x2e7a59006c0fe85d:0x8075393c52989f86!8m2!3d-7.7925855!4d110.3904519!16s%2Fg%2F11mlzb519h!19sChIJXegPbABZei4Rhp-YUjw5dYA?authuser=0&hl=id&rclk=1","Kedai Seduh Mie","4,8","(44)","·","Rp 1–25.000","Mi","·","","Jl. Melati Wetan No.58","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdJWI8SgoujABcELpgJL8NTNKUdL_NCTrHqFgbfGsEOlau9uGUB_f9qjotf3L3-ffAkhhO_d0e6MWVafKWmWqoPY-duuZsVvw4Ed60Du0HRm_qoxl87eUFFOzbS4UMvnFBjn2Zx1sCSvl4=w122-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Kedai+Roots/data=!4m7!3m6!1s0x2e7a59ea908b7023:0xfa3bbf3297ac3f78!8m2!3d-7.775361!4d110.403205!16s%2Fg%2F11b6jh67s4!19sChIJI3CLkOpZei4ReD-slzK_O_o?authuser=0&hl=id&rclk=1","Kedai Roots","4,4","(334)","·","Rp 1–25.000","Rumah Makan","·","","6CF3+V74, Jl. Melon Mundusaren","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzrLkoxF2TeQNYtTOZbOvTW3SWwWYjHdEb5TGokbsPNDlsSInEI1WKWqLScnupxB6wgj7MBp_76nNYwXICo78jzFR53pnSF4gLbge6LF9TyW7fTGtMqck5QO0UONv89i5EvMs=w163-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Kedai+Satu/data=!4m7!3m6!1s0x2e7a59b92e9fbe4d:0x3c24e916e12a567b!8m2!3d-7.7630653!4d110.4047631!16s%2Fg%2F11swwv94xk!19sChIJTb6fLrlZei4Re1Yq4RbpJDw?authuser=0&hl=id&rclk=1","Kedai Satu","4,5","(24)","·","Rp 1–25.000","Jawa","·","","Jl. Sepakbola No.134-45","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHzRylca1ri_-E_9fjIf-cg5gqVv1P2qg_-sPEirC4FZASvJL738Mkayvzz2UMG2uZ7o0Osi_Pb3UMXpvmDSCZHCNnLLfrxl-u6kdKA7XS4THaboDhVcIYOs7BmeHHX9-VWGTGw=w122-h92-k-no","Makan di tempat","·","Bawa pulang","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Kedai+37/data=!4m7!3m6!1s0x2e7a59fb10f73f5d:0x9d867f37aef5b194!8m2!3d-7.7643738!4d110.4049289!16s%2Fg%2F11kk6msy4y!19sChIJXT_3EPtZei4RlLH1rjd_hp0?authuser=0&hl=id&rclk=1","Kedai 37","5,0","(4)","·","Rp 1–25.000","Kedai Kopi","·","","6CP3+6XV https://maps.google.com/?q=-7.764330,110.404900, Jl. Ngelarensari","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSeBY-REX9E9g4sfAs-NTLOpzX4zv00fxEeTqQQt9O8BGUqHtByBsuIQBPLV6ruCrDFDsGEaknyvEyHc9SFsMdx6wxi0S-dttREkROfS9JiDjBqDOdLFzrqm1r1LvOAx4kH3QQ=w80-h106-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Kedai+Semar/data=!4m7!3m6!1s0x2e7a59fac48196db:0xb0cc9921ccd0581c!8m2!3d-7.7539317!4d110.4143961!16s%2Fg%2F11hst86xt4!19sChIJ25aBxPpZei4RHFjQzCGZzLA?authuser=0&hl=id&rclk=1","Kedai Semar","4,9","(62)","·","Rp 1–25.000","Kedai Kopi","·","","6CW7+CQC, Jl. Tambakboyo","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHkjzykhR7WC9gDJyJkGJJ-RMOEayrSNz1GLfJQmQ-IGIs8PYIzRMeIQCWgL8fJSToe3f7qFmATtS17IBIDvi5u-G-6bSmI_YhVKlEHC8ZZLSfAGru4xh2fv8CGYlTjAK9sfYLHAw=w163-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Kedai+Misoa+Qiu+Qiu+99/data=!4m7!3m6!1s0x2e7a59e5834da911:0x43d62a2af9c8c340!8m2!3d-7.7860942!4d110.3825668!16s%2Fg%2F11x230177q!19sChIJEalNg-VZei4RQMPI-Soq1kM?authuser=0&hl=id&rclk=1","Kedai Misoa Qiu Qiu 99","4,5","(1.076)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. Langensari","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHRxtYFY9HHOB6b06JVNaLxeKwXuT5BnsEL96DXVVr05zVr1GnTeDfsWVhzubotwpDUTccG8jj72l0zlxculK14EUpxGWik_oO9SQt6FWWwDhrWGEXWnhBUlYY_t9WZwWmTV2-kg=w80-h142-k-no","Makan di tempat","·","Drive-through","Antar tanpa bertemu",""
"https://www.google.com/maps/place/KEDAI+AJA/data=!4m7!3m6!1s0x2e7a590036703853:0x91b41e0169683f2a!8m2!3d-7.766019!4d110.3858289!16s%2Fg%2F11n46v8jz5!19sChIJUzhwNgBZei4RKj9oaQEetJE?authuser=0&hl=id&rclk=1","KEDAI AJA","4,0","(4)","·","Rp 1–25.000","Kedai Kopi","·","","69MP+J8V","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEV41uT6v6Tuqap5T5ud_aGdds69XEzsmOKkvqN0UQMrsf7WsV3B-h4H0X1YUB6YW2wPXAEzSOscFicMlgDbotYquSJO0FbMhNBXEArpjdbWXllgu6tvP_in7m7Z-dVGmqEmmCK92DVxjwY=w80-h106-k-no","","","","",""
"https://www.google.com/maps/place/Kedai+Sentosa/data=!4m7!3m6!1s0x2e7a59e323987079:0xca24fe3c01582bc!8m2!3d-7.7874889!4d110.3797424!16s%2Fg%2F11rf83_1r6!19sChIJeXCYI-NZei4RvIIVwONPogw?authuser=0&hl=id&rclk=1","Kedai Sentosa","4,8","(115)","·","Rp 1–25.000","Kedai Kopi","·","","Jl. Kusbini No.12","Buka","· Tutup pukul 22.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFA-ohONLiq7MVJVziER2PnfOGmol9--7NbvqZCI3zl-bYjglZJr53GAT783V3wWjI0OiacRdUlBcgJIzIgrTWh9ZV0D_D4CqnevX4hNzfeb3aljes0YcUT1-4GYuKSfdrtBbFIRhcshgQz=w80-h106-k-no","Makan di tempat","·","Bawa pulang","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Kedai+Diajeng/data=!4m7!3m6!1s0x2e7a59b11782e81f:0x65a62bb18460cbb4!8m2!3d-7.7708958!4d110.38889!16s%2Fg%2F11h_wxnnxk!19sChIJH-iCF7FZei4RtMtghLErpmU?authuser=0&hl=id&rclk=1","Kedai Diajeng","4,7","(16)","·","Rp 1–25.000","Restoran","·","","Gg. Endra No.17A","Buka","· Tutup pukul 23.45","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6SrwOKDtQ8BjG0hZrK1niQ8UI8Df-UOENdGlSu8WWqQFyNvotFMXnCWkz2XotZ4xAvlg_Yn64xlrFq2XZLABeUwB12NVxWT6-5yyXaFacTUT9L_ehd_Hi4--V8pVN04tNaxU48A=w122-h92-k-no","Makan di tempat","·","Bawa pulang","Pesan antar",""
"https://www.google.com/maps/place/Kedai+Emperor/data=!4m7!3m6!1s0x2e7a59ba076bfacf:0x103a6abf2c1140ac!8m2!3d-7.776461!4d110.403135!16s%2Fg%2F11vjkn974t!19sChIJz_prB7pZei4RrEARLL9qOhA?authuser=0&hl=id&rclk=1","Kedai Emperor","4,8","(20)","·","Rp 25–50 rb","Mi","·","","6CF3+C76, Jl. Melon Mundusaren","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFdk2ilUr80u-O3OCXgu2AwdWyM57N_Uib2GNT-y6BLPznmeZZlGBo-6C_fgmsym-3twg_PBbZMhHTCwasTgMmjm0JMn9iW8UibuPic8AIdVOF5Cv6AtJnkiCyUqiQzqp2CiOGFeg=w122-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Kedai+Karo+New/data=!4m7!3m6!1s0x2e7a59021eadecb7:0x8b326978645b0f08!8m2!3d-7.7747147!4d110.4083795!16s%2Fg%2F11tj6j425w!19sChIJt-ytHgJZei4RCA9bZHhpMos?authuser=0&hl=id&rclk=1","Kedai Karo New","4,7","(78)","·","Rp 1–25.000","Kedai Kopi","·","","6CG5+38H, Jl. Raya Kledokan No.23","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEV4JwNbFrD9f_pyJizDob8xVXYi-I-JJvVyjcL12Tc4VDDjlOTcoalqdwI3xxAZE7aDgo7LiTletknfjp7lcLQgiHJ28OkCs_tN_UQdmIpt-llvN4zLmRVMJ8DH69feGWqIvpb=w122-h92-k-no","Makan di tempat","·","Bawa pulang","Pesan antar",""
"https://www.google.com/maps/place/KEDAI+C-99/data=!4m7!3m6!1s0x2e7a594a01748307:0x58d1ea0206dc1c88!8m2!3d-7.777104!4d110.382711!16s%2Fg%2F11h8f_pfk5!19sChIJB4N0AUpZei4RiBzcBgLq0Vg?authuser=0&hl=id&rclk=1","KEDAI C-99","5,0","(18)","","","Kafe","·","","Jl. Colombo No.99","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmftcvE_BIOTKUnb7aIoZmtMmjvJzoYVPmIP712-IJWoiL_Uosn4ZVDAmJWNPABUKXijCp2uPvyZqB6MdvVZxtO2KPSTIDFYAlJheaYnwxs4sjtaCbfyMEBtA1oL1c5gqOOu1a5g=w163-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Kedai+Ndilalah+gus+Awe/data=!4m7!3m6!1s0x2e7a592380e8c965:0x8acdc572dbbdf104!8m2!3d-7.7636558!4d110.3817258!16s%2Fg%2F11hm_pb0v3!19sChIJZcnogCNZei4RBPG923LFzYo?authuser=0&hl=id&rclk=1","Kedai Ndilalah gus Awe","4,9","(16)","","","Kedai Kopi","·","","·","Tutup","· Buka Sab pukul 17.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDfiZKWtGKiCAqIAvyEn8wnx_TP8alsrJIoTPnnyKVhtRlNtA7g5KpwH77OIobyggRzUvQxfZDKMFlF5Xv8fEZ7YL9iYZvqHFKrgkJbj1UUONVZQ_j2pIc-uDui5dYxwd0-Mw=w163-h92-k-no","Makan di tempat","·","Drive-through","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Kedai+Mahlies/data=!4m7!3m6!1s0x2e7a5fb0e0c63309:0xff5bb101acc9e12d!8m2!3d-7.7757996!4d110.4063357!16s%2Fg%2F11hgmvtjrz!19sChIJCTPG4LBfei4RLeHJrAGxW_8?authuser=0&hl=id&rclk=1","Kedai Mahlies","4,3","(19)","","","Restoran","·","","dr.216 masuk ke barat mentok,serumah dengan MODISTE TORA, Jl. Kurma No.218, RT.06/RW.02","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHkO_tqGB2yMqnzkwRtpAt2RsS-HIzZw1ksrEGhCC8vP0_kLs0QTHPicgbKBqnhTrihZJVi4qGPBtGr07HEDeI961C1HueCiHKQbky5ZFmrYFcjg9BGZHDLrdai0CzCLPfMzjNA=w143-h92-k-no","Makan di tempat","·","Bawa pulang","Tidak menyediakan layanan pengiriman",""
"https://www.google.com/maps/place/Kedai+Pawon+Sawah/data=!4m7!3m6!1s0x2e7a59bf0a4a1ce1:0xfa11ccbeed86a0e7!8m2!3d-7.7724016!4d110.399203!16s%2Fg%2F1pzy7hklc!19sChIJ4RxKCr9Zei4R56CG7b7MEfo?authuser=0&hl=id&rclk=1","Kedai Pawon Sawah","4,4","(406)","·","Rp 1–25.000","Restoran","·","","·","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjQkjunJcGhUeEWhchFMoWCA32c3XfYNMCgqrlTTowAkgiz5miEcITRZduC2qzcqtSLQ2rdvkE-2wSCDsdIJEtFNkUpq_SoYmn1MtLCbPgP7p5NchR5V6QtrMI8jBTXq1_yNI-kA=w122-h92-k-no","Makan di tempat","·","Bawa pulang","Pesan antar",""
"https://www.google.com/maps/place/Kedai+d%27Blangkon/data=!4m7!3m6!1s0x2e7a5929455df5af:0xc27e543a0900ef!8m2!3d-7.7552918!4d110.4008965!16s%2Fg%2F11hyxt3bfn!19sChIJr_VdRSlZei4R7wAJOlR-wgA?authuser=0&hl=id&rclk=1","Kedai d'Blangkon","5,0","(3)","","","Kedai Kopi","·","","Jl. Munggur No.162","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXTaLJxxXLbxl91WtsVpeqsN0gcR8CWNuHRED_jFSDCjUnxKlC5b3VWvHzcVGDz1dNXYfjI4pYfX0zOgs9pNgILit7fp_GXCgnziZMnKoWMBkRNLlODeNhvFfhTtumXShLmtd3=w122-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Kedai+Naknan/data=!4m7!3m6!1s0x2e7a59ca3de400e5:0x5c15e04fbfd886c3!8m2!3d-7.752647!4d110.3770748!16s%2Fg%2F11kpn7t1dk!19sChIJ5QDkPcpZei4Rw4bYv0_gFVw?authuser=0&hl=id&rclk=1","Kedai Naknan","4,2","(26)","·","Rp 1–25.000","Restoran","·","","Jl. Pogung Lor No.1003","Buka","· Tutup pukul 02.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEtlUJ4cNsiyG3d6TieWkorhyjSmoArJ4HWtfZVbcxvsiy26NGBoUWD8nz5bNyIzhjSAFYbsF2iWSZVuQY48zFP-SQxp-8VcWgBebpUh-ZCZz6sxtppBM1fUrKaKLsQA-LwBEik=w80-h106-k-no","Makan di tempat","·","Bawa pulang","Antar tanpa bertemu",""
"https://www.google.com/maps/place/kedai+casper%28%EA%A7%8B%EA%A6%8F%EA%A6%BC%EA%A6%A3%EA%A6%BB%EA%A6%95%EA%A6%B1%EA%A7%80%EA%A6%A5%EA%A6%BA%EA%A6%82%29/data=!4m7!3m6!1s0x2e7a59a10c07d059:0x383cbcd6b0cce5c!8m2!3d-7.7915527!4d110.3804691!16s%2Fg%2F11mw7h64nx!19sChIJWdAHDKFZei4RXM4Ma83LgwM?authuser=0&hl=id&rclk=1","kedai casper(꧋ꦏꦼꦣꦻꦕꦱ꧀ꦥꦺꦂ)","4,8","(25)","·","Rp 1–25.000","Restoran","·","","695J+95H, Jl Pengok Kidul","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdjqxZyAyWoAm9vFD6C65DxEaKom52OVOWQPARRQZ56LTmDljj-Dt5Z0zfJCM-SKAAczJLU8QW7xgrcCc168iidL8limjqlX3TIrWIHWFlCuVpnqdlEgMA8FZCsMhxJ9qCOVKb=w122-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Kedai+Kisah/data=!4m7!3m6!1s0x2e7a596bb4178a31:0xac5f114f4c97a51c!8m2!3d-7.7770857!4d110.3692321!16s%2Fg%2F11nnnh_h5n!19sChIJMYoXtGtZei4RHKWXTE8RX6w?authuser=0&hl=id&rclk=1","Kedai Kisah","5,0","(32)","·","Rp 1–25.000","Kedai Kopi","·","","·","Tutup","· Buka Sen pukul 17.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjJ5NGSXTP6PImBoH5vZWkqiqnsebYpLuMkG_PsleQEm0wjK3W5XdSrboqHnsIBaDrcjoqWf8R8OdLL1m_0tmVH1UUz0-3Jv1OFb9kiaHm-89m6P4XJS3IHpkDgD2mHXpoApBo7A=w80-h106-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Kedai+Digital+Pusat+%28Bikin+Merchandise+%26+Souvenir+Satuan%29/data=!4m7!3m6!1s0x2e7a59c5bf5877cf:0x9ef6247f65bff9a0!8m2!3d-7.7805143!4d110.3922615!16s%2Fg%2F11c1mzv1wy!19sChIJz3dYv8VZei4RoPm_ZX8k9p4?authuser=0&hl=id&rclk=1","Kedai Digital Pusat (Bikin Merchandise & Souvenir Satuan)","4,7","(179)","","","Toko Suvenir","·","","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFz56dcpKnE3wdxDPt9uQoi0EaJyBFsWhSw_NJpgZTkVLvbSZ0lArkRDu2j4_XyBvZQLpRNe4zTRIYAHKqGsQPABuTWwT2ByVe0Am0FbpoSaxks9CzOB3DVY6YcznHESEyRS4Edkg=w124-h92-k-no","Pesan antar","","","",""
"https://www.google.com/maps/place/Ngudi+Rejeki+Pogung/data=!4m7!3m6!1s0x2e7a585216a2761b:0x86bd35dab4f22aab!8m2!3d-7.7637983!4d110.3737143!16s%2Fg%2F11clyz1jfh!19sChIJG3aiFlJYei4RqyrytNo1vYY?authuser=0&hl=id&rclk=1","Ngudi Rejeki Pogung","4,4","(1.626)","·","Rp 1–25.000","Restoran","·","","·","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEMVbMditNMVLmfXvwafn5pAdHaO3C9dSSmj2CV66KNMExN_AoNPB-HrQ311aYvzNmE2txjoJpS7e412EnFUTs1qPIgfJBPGovPal1OPZVz-fovZkPQ61Z40EWDrfQFV82UxSbs=w122-h92-k-no","Makan di tempat","·","Bawa pulang","Pesan antar",""
"https://www.google.com/maps/place/Kedai+Kolega+Tugu/data=!4m7!3m6!1s0x2e7a59f9e2946f59:0xc0bd53352f887e1d!8m2!3d-7.7874125!4d110.3663824!16s%2Fg%2F11h4ppvb_w!19sChIJWW-U4vlZei4RHX6ILzVTvcA?authuser=0&hl=id&rclk=1","Kedai Kolega Tugu","4,6","(58)","","","Kafe","·","","Jl. P. Mangkubumi No.21","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF2o-4RfJwAs8Pq98tHAHQ-gBscO45rSyEsVuGcSi9Q_EGEnmjdgVNKXKM4cYRIV_CRvVGJpP-z8OEuaQgYZvmpWfjsrCycYUuqAUXIGMCWZKauclcQolR6e3sHi52geXq8fIcA=w122-h92-k-no","Makan di tempat","·","Bawa pulang","",""
"https://www.google.com/maps/place/Kedai+Zu+Pa+%28+Zuppa+Soup+%26+Pasta+%29/data=!4m7!3m6!1s0x2e7a582d6e47916b:0x6abae10b848a5ebf!8m2!3d-7.786125!4d110.3763573!16s%2Fg%2F11c0xnqx4c!19sChIJa5FHbi1Yei4Rv16KhAvhumo?authuser=0&hl=id&rclk=1","Kedai Zu Pa ( Zuppa Soup & Pasta )","4,5","(369)","·","Rp 25–50 rb","Kafe","·","","·","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE7beTKWLRYrYFfTfuP6HQeqOFKuUl4ND6SvzTvMJWizym9TQsYNiDmRdEoHGOqqyUx_cPgBL6L3CC-CgyO3qNrgnErpHNVIEcuKKrAq7LaCqWkU_FNMLdEBapxMSjxT4r4Ao5_Yw=w80-h142-k-no","Makan di tempat","·","Bawa pulang","Antar tanpa bertemu",""
"https://www.google.com/maps/place/Kedai+Susu+Segar+Pak+Jangkung/data=!4m7!3m6!1s0x2e7a59aa7731d7cf:0xab8db9bc3e3f15d4!8m2!3d-7.7543662!4d110.3824122!16s%2Fg%2F11b6cw3yjx!19sChIJz9cxd6pZei4R1BU_Pry5jas?authuser=0&hl=id&rclk=1","Kedai Susu Segar Pak Jangkung","4,6","(324)","·","$","Kedai Teh","·","","·","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHG4J3XJGnNGoIKHCzqgqI0JnLacxtJPOgG2xBM3e_fOcIj0Q1WE_bt02DNsL0JmrbCKDwp70iAlpGXHXa63Rol6maLHG9Va5IeH3AGDHZ6-5mPHCOkDQIaE5whGcj-ENCmlZ1tYw=w122-h92-k-no","Makan di tempat","·","Bawa pulang","",""
