"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W4Efsd 6"
"https://www.google.com/maps/place/APOTEK+MAHAMERU/data=!4m7!3m6!1s0x2e7883ff16f903bb:0x5cf053373234f713!8m2!3d-7.9566887!4d112.6056297!16s%2Fg%2F11gk6smrn0!19sChIJuwP5Fv-DeC4RE_c0MjdT8Fw?authuser=0&hl=id&rclk=1","APOTEK MAHAMERU","4,6","(92)","Apotek","·","Jl. Sigura - Gura No.16D","Tutup","· Buka Min pukul 07.00","(0341) 5073493","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fast response dan lengkap.. staffnya membantu sekali.""","·"
"https://www.google.com/maps/place/Apotek+Merjosari/data=!4m7!3m6!1s0x2e78826d11ef681b:0xfedf89c4ce15383a!8m2!3d-7.9445184!4d112.6058519!16s%2Fg%2F1hm5l_vv9!19sChIJG2jvEW2CeC4ROjgVzsSJ3_4?authuser=0&hl=id&rclk=1","Apotek Merjosari","4,0","(80)","Apotek","·","·","Tutup","· Buka Min pukul 07.00","0858-5041-7560","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan ramah banget, dan harganya murah masih dalam kategori wajar🙏🏻""","Jl. Joyo Tambaksari No.32 A"
"https://www.google.com/maps/place/Apotek+K-24+Dinoyo+Malang/data=!4m7!3m6!1s0x2e78830029dde05d:0xd8a07bcbe9634b64!8m2!3d-7.937509!4d112.6062789!16s%2Fg%2F11vx2_p08f!19sChIJXeDdKQCDeC4RZEtj6ct7oNg?authuser=0&hl=id&rclk=1","Apotek K-24 Dinoyo Malang","4,4","(99)","Apotek","·","Jl. Mayjend Haryono No.192, RT.01/RW.05","Buka 24 jam","·","0852-8000-8525","https://www.apotek-k24.com/location","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""",""
"https://www.google.com/maps/place/Farmasi+FK+UB/data=!4m7!3m6!1s0x2e788334398e8265:0xfbf8090517303ab1!8m2!3d-7.9549507!4d112.6137614!16s%2Fg%2F11fd4hxqyj!19sChIJZYKOOTSDeC4RsTowFwUJ-Ps?authuser=0&hl=id&rclk=1","Farmasi FK UB","4,7","(12)","Universitas Negeri","·","2JW7+2G6","","","(0341) 551611","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""farmasi ub tunggu aku 2025 ya🫶🏻""",""
"https://www.google.com/maps/place/Apotik+Plus/data=!4m7!3m6!1s0x2e78827f4a914449:0xefd08100511c1879!8m2!3d-7.9571933!4d112.6184646!16s%2Fg%2F1ptyjp9xf!19sChIJSUSRSn-CeC4ReRgcUQCB0O8?authuser=0&hl=id&rclk=1","Apotik Plus","4,8","(9)","Apotek","·","Malang Town Square, Mall Jl. Veteran Lantai LG Blok LS 18 No. 3, 5, 6, 7","","","(0341) 559064","","","Rute","","","","",""
"https://www.google.com/maps/place/Apotek+%22Umc%22/data=!4m7!3m6!1s0x2e78827c1b305ba5:0x8a5b9bd82b315a68!8m2!3d-7.9580866!4d112.6134029!16s%2Fg%2F11p65qrp1s!19sChIJpVswG3yCeC4RaFoxK9ibW4o?authuser=0&hl=id&rclk=1","Apotek ""Umc""","5,0","(2)","Apotek","·","2JR7+Q96, Jl. Bendungan Sutami","","","","","","Rute","","","","",""
"https://www.google.com/maps/place/Apotek+Luwes+Farma/data=!4m7!3m6!1s0x2e7883189c0ec375:0xd180e9fecf868148!8m2!3d-7.9494071!4d112.6168154!16s%2Fg%2F11gtc0zjwv!19sChIJdcMOnBiDeC4RSIGGz_7pgNE?authuser=0&hl=id&rclk=1","Apotek Luwes Farma","","","Apotek","·","Jl. Soekarno Hatta No.2","Tutup","· Buka Min pukul 08.00","","","","Rute","","","","",""
"https://www.google.com/maps/place/Toko+Herbal+Wawan+Malang/data=!4m7!3m6!1s0x2dd629de2aef78af:0x712682af16005b0e!8m2!3d-7.944843!4d112.611727!16s%2Fg%2F11c1nc5t01!19sChIJr3jvKt4p1i0RDlsAFq-CJnE?authuser=0&hl=id&rclk=1","Toko Herbal Wawan Malang","4,7","(213)","Toko Herbal","·","·","Tutup","Jl. MT. Haryono No.22","0813-3577-9957","https://www.facebook.com/wawan.herbal","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat madu herbal yg lengkap & harga lumayan murah""","· Buka Min pukul 08.00"
"https://www.google.com/maps/place/SPBU+Pertamina+54.651.31/data=!4m7!3m6!1s0x2e78827bfee41e67:0xc604fb1978a8f1fb!8m2!3d-7.9571722!4d112.6133611!16s%2Fg%2F1hm2gxf4c!19sChIJZx7k_nuCeC4R-_GoeBn7BMY?authuser=0&hl=id&rclk=1","SPBU Pertamina 54.651.31","4,4","(5.433)","Pom bensin/SPBU","·","Jl. Bendungan Sutami No.5","Buka 24 jam","","(0341) 564073","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan Ramah,
Toilet Gratis, Bersih juga.""","·"
"https://www.google.com/maps/place/Apotek+Andhika/data=!4m7!3m6!1s0x2e788272cebba7af:0x892ae207147efffc!8m2!3d-7.9427552!4d112.6099696!16s%2Fg%2F11b6c9h597!19sChIJr6e7znKCeC4R_P9-FAfiKok?authuser=0&hl=id&rclk=1","Apotek Andhika","4,6","(29)","Apotek","·","·","Tutup","· Buka Min pukul 07.00","0896-7433-1000","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga murah, pelayanan ramah, tempat bersih dan rapi""","Jl. MT. Haryono"
"https://www.google.com/maps/place/Apotek+Medison+Care/data=!4m7!3m6!1s0x2e788272e28ad3e3:0xaec035126d5f4985!8m2!3d-7.9439184!4d112.6107525!16s%2Fg%2F1hm2kthn_!19sChIJ49OK4nKCeC4RhUlfbRI1wK4?authuser=0&hl=id&rclk=1","Apotek Medison Care","4,4","(68)","Apotek","·","Jl. Mayjen Hariyono Jl. MT. Haryono No.52","Tutup","·","(0341) 575048","https://www.honestdocs.id/apotik/medison-care-pharmacy-malang","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","· Buka Min pukul 13.00"
"https://www.google.com/maps/place/Apotik+k24+suhat+malang/data=!4m7!3m6!1s0x2dd629dfd71d38f5:0xcc9ae4b9478397f6!8m2!3d-7.9380106!4d112.6254994!16s%2Fg%2F1tjjfxr8!19sChIJ9Tgd198p1i0R9peDR7nkmsw?authuser=0&hl=id&rclk=1","Apotik k24 suhat malang","4,4","(506)","Apotek","·","·","Buka 24 jam","Jl. Soekarno Hatta No.66b","0812-3544-9259","https://www.apotek-k24.com/location/detail/524/K-24-SUHAT","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""",""
"https://www.google.com/maps/place/Apotek+Telaga+Nabi/data=!4m7!3m6!1s0x2e78827a55ca0ce5:0x75dba1ccbc2f9122!8m2!3d-7.9547545!4d112.6111335!16s%2Fg%2F11b75qnz5x!19sChIJ5QzKVXqCeC4RIpEvvMyh23U?authuser=0&hl=id&rclk=1","Apotek Telaga Nabi","4,4","(45)","Apotek","·","·","Tutup","Jl. Raya Sumbersari No.254C","0812-1616-8112","https://www.honestdocs.id/apotik/apotek-telaga-nabi-malang","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Obat lengkap, harga terjangkau, bisa konsultasi dg apoteker dan cocok""","· Buka Min pukul 17.00"
"https://www.google.com/maps/place/Apotek+K-24+Galunggung+Malang/data=!4m7!3m6!1s0x2e78830479c2e31b:0x1b9d152e34ff5d4!8m2!3d-7.9704987!4d112.6135463!16s%2Fg%2F11qsvsc9nn!19sChIJG-PCeQSDeC4R1PVP41LRuQE?authuser=0&hl=id&rclk=1","Apotek K-24 Galunggung Malang","4,6","(258)","Apotek","·","Jl. Galunggung No.32B","Buka 24 jam","·","0812-3591-0953","https://www.apotek-k24.com/location","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya top...",""
"https://www.google.com/maps/place/Arirang/data=!4m7!3m6!1s0x2e788273c1ba08b1:0x813c59d8404e019!8m2!3d-7.9458579!4d112.6123942!16s%2Fg%2F11b6czhq6c!19sChIJsQi6wXOCeC4RGeAEhJ3FEwg?authuser=0&hl=id&rclk=1","Arirang","3,0","(2)","Apotek","·","Ruko Dinoyo Indah, Jl. MT. Haryono No.Kav. 7 No. 73","Tutup","· Buka Min pukul 07.30","(0341) 7714160","","","Rute","","","","","·"
"https://www.google.com/maps/place/Medicalkes+Smart+Malang/data=!4m7!3m6!1s0x2e788271cf8e56d3:0xd32c56b31011e082!8m2!3d-7.953331!4d112.610358!16s%2Fg%2F11b6c9h6pw!19sChIJ01aOz3GCeC4RguARELNWLNM?authuser=0&hl=id&rclk=1","Medicalkes Smart Malang","4,8","(352)","Pemasok peralatan medis","·","·","Tutup","Ruko Sumbersari, Jl. Raya Sumbersari No.89","0821-3914-1852","http://shopee.co.id/apotekmedicarealkesmart","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan  oke.. Cukup lengkap barang2 nya dan harga cukup terjangkau""","· Buka Min pukul 07.00"
"https://www.google.com/maps/place/Apotek+M-24+Candi+Panggung+SoekarnoHatta+Malang/data=!4m7!3m6!1s0x2dd629f07aeb7bc9:0xe6d9087dfe43b276!8m2!3d-7.9375514!4d112.6209242!16s%2Fg%2F11xyvgq1cc!19sChIJyXvrevAp1i0RdrJD_n0I2eY?authuser=0&hl=id&rclk=1","Apotek M-24 Candi Panggung SoekarnoHatta Malang","5,0","(109)","Apotek","·","·","Buka 24 jam","Jl. Candi Panggung No.30","0812-3996-3321","https://www.instagram.com/apotekm24mlg/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""harganya nggak mahal pelayanannya bagus dan bisa kirim gratis ongkir😍🫰🏻""",""
"https://www.google.com/maps/place/Apotek+Dinoyo+Farma/data=!4m7!3m6!1s0x2e78820d79f406f1:0xf422d7567809bee4!8m2!3d-7.9401059!4d112.608046!16s%2Fg%2F1hc5qdn5b!19sChIJ8Qb0eQ2CeC4R5L4JeFbXIvQ?authuser=0&hl=id&rclk=1","Apotek Dinoyo Farma","3,4","(73)","Apotek","·","Jl. MT. Haryono No.153A","Tutup","· Buka Min pukul 08.00","(0341) 552224","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""langganan beli Obat, harga bersaing""","·"
"https://www.google.com/maps/place/Apotek+K-24+Cengger+Ayam+Malang/data=!4m7!3m6!1s0x2dd6298de609c195:0xdd798c124e75ed!8m2!3d-7.9463297!4d112.6316505!16s%2Fg%2F11rg32nmp2!19sChIJlcEJ5o0p1i0R7XVOEox53QA?authuser=0&hl=id&rclk=1","Apotek K-24 Cengger Ayam Malang","4,5","(216)","Apotek","·","Jl. Cengger Ayam I No.1","Buka 24 jam","·","0811-402-424","https://linktr.ee/k24cenggerayam/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanan oke, obat lengkap dan ada free delivery juga""",""
"https://www.google.com/maps/place/APOTEK+SEDAYU+SEHAT/data=!4m7!3m6!1s0x2dd629005a264ddf:0x8348529c5f2477cc!8m2!3d-7.9543448!4d112.6201425!16s%2Fg%2F11w9gjxh07!19sChIJ300mWgAp1i0RzHckX5xSSIM?authuser=0&hl=id&rclk=1","APOTEK SEDAYU SEHAT","5,0","(4)","Apotek","·","Jl. Mayjend Panjaitan No.135","Tutup","· Buka Min pukul 16.00","","","","Rute","","","","",""
"https://www.google.com/maps/place/Viva+Apotek+Candi+Panggung/data=!4m7!3m6!1s0x2e7883559b9bc2a9:0xb85335c8d7c0e4c6!8m2!3d-7.9357946!4d112.6175521!16s%2Fg%2F11f542ymzp!19sChIJqcKbm1WDeC4RxuTA18g1U7g?authuser=0&hl=id&rclk=1","Viva Apotek Candi Panggung","4,2","(143)","Apotek","·","Jl. Candi Panggung RT 01, RW 18 Rukan B","Buka 24 jam","·","0823-3290-6059","https://vivaapotek.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""",""
"https://www.google.com/maps/place/Apotek+Sumber+Waras/data=!4m7!3m6!1s0x2e78835cab13f60f:0x20f51dcdc8fe26ae!8m2!3d-7.9653268!4d112.6134754!16s%2Fg%2F11rft6cfzk!19sChIJD_YTq1yDeC4Rrib-yM0d9SA?authuser=0&hl=id&rclk=1","Apotek Sumber Waras","4,9","(391)","Apotek","·","·","Tutup","· Buka Min pukul 07.00","0852-3600-0589","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Jl. Galunggung No.91A"
"https://www.google.com/maps/place/Apotek+Seven+24+Malang/data=!4m7!3m6!1s0x2e78830001be14cf:0xda5302eb28df8e37!8m2!3d-7.9653504!4d112.613383!16s%2Fg%2F11mrhm7764!19sChIJzxS-AQCDeC4RN47fKOsCU9o?authuser=0&hl=id&rclk=1","Apotek Seven 24 Malang","5,0","(43)","Apotek","·","Jl. Galunggung No.89f","","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""obat sangat lengkap, tempat bersih nyaman dan pelayanan sangat baik""",""
"https://www.google.com/maps/place/APOTEK+SUHAT+24+-+WARNA+ORANGE/data=!4m7!3m6!1s0x2dd6292fc0e452bb:0x85b415c7a99aad3f!8m2!3d-7.9378769!4d112.6255692!16s%2Fg%2F11nbb6l130!19sChIJu1LkwC8p1i0RP62aqccVtIU?authuser=0&hl=id&rclk=1","APOTEK SUHAT 24 - WARNA ORANGE","5,0","(19)","Apotek","·","Ruko Sukarno Hatta, Jl. Soekarno Hatta Ptp I F No.66","Buka 24 jam","·","(0341) 4373903","http://linktr.ee/apoteksuhat24","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""",""
"https://www.google.com/maps/place/La+Tansa+CS+Store/data=!4m7!3m6!1s0x2e788271bf68f199:0x852103d8169c42d5!8m2!3d-7.9489341!4d112.609467!16s%2Fg%2F11gdrdm05h!19sChIJmfFov3GCeC4R1UKcFtgDIYU?authuser=0&hl=id&rclk=1","La Tansa CS Store","4,6","(112)","Toko Ponsel","·","Jl. Kerto Pamuji No.17 A","Tutup","","","https://tokopedia.link/latansacsmalang","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""banyak promo murah dan barang berkualitas""","· Buka Sen pukul 10.30"
"https://www.google.com/maps/place/Klinik+Universitas+Brawijaya/data=!4m7!3m6!1s0x2e78827716dc410b:0x654a2cb6b0146774!8m2!3d-7.9506983!4d112.6156463!16s%2Fg%2F11cmq_1yq7!19sChIJC0HcFneCeC4RdGcUsLYsSmU?authuser=0&hl=id&rclk=1","Klinik Universitas Brawijaya","4,5","(859)","Klinik Medis","·","·","Tutup","· Buka Sen pukul 08.00","(0341) 571197","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat menunggu nya nyaman, dokternya baik, pelayanannya bagus""","Jl. MT. Haryono"
"https://www.google.com/maps/place/APOTEK+GOLDEN+FARMA/data=!4m7!3m6!1s0x2e7883007fc65595:0x6c3dd306f8c58d1b!8m2!3d-7.9498091!4d112.6052151!16s%2Fg%2F11wmk4ly37!19sChIJlVXGfwCDeC4RG43F-AbTPWw?authuser=0&hl=id&rclk=1","APOTEK GOLDEN FARMA","5,0","(2)","Apotek","·","Jl. Sunan Kalijaga Dalam III No.Kav 2","Tutup","· Buka Min pukul 07.00","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan sat set, ramah dan memuaskan 💖""",""
"https://www.google.com/maps/place/Apotek+Kimia+Farma/data=!4m7!3m6!1s0x2dd628213adaafe3:0xac513f1d52f9e9a5!8m2!3d-7.978873!4d112.625129!16s%2Fg%2F1hc0ynb9v!19sChIJ46_aOiEo1i0Rpen5Uh0_Uaw?authuser=0&hl=id&rclk=1","Apotek Kimia Farma","3,9","(437)","Apotek","·","·","Buka","Jl. Kawi No.22A","0811-3279-391","http://kimiafarmaapotek.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanan memuaskan, karyawan","· Tutup pukul 01.00"
"https://www.google.com/maps/place/Apotek+Kimia+Farma+187+Dinoyo/data=!4m7!3m6!1s0x2e7883447f4d494f:0xc07b16ddc8061301!8m2!3d-7.9420758!4d112.6093752!16s%2Fg%2F11r44yjt6m!19sChIJT0lNf0SDeC4RARMGyN0We8A?authuser=0&hl=id&rclk=1","Apotek Kimia Farma 187 Dinoyo","4,3","(78)","Apotek","·","Jl. MT. Haryono No.110","Tutup","·","0811-1067-8251","http://kimiafarmaapotek.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apoteknya bersih dingin josjis,","· Buka Min pukul 07.00"
"https://www.google.com/maps/place/Apotek+Pasti+Sehat/data=!4m7!3m6!1s0x2e7883c237e21cab:0xa24d3638353167b4!8m2!3d-7.9600992!4d112.6134963!16s%2Fg%2F11vl2yyffp!19sChIJqxziN8KDeC4RtGcxNTg2TaI?authuser=0&hl=id&rclk=1","Apotek Pasti Sehat","4,4","(8)","Apotek","·","Jl. Bendungan Sutami No.15 H","Tutup","·","0896-3937-7678","https://apotekpastisehat.great-site.net/?i=2","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""anw saya udah pernah kesini apotekernya ramah dijelasinn tiap obatnya.""","· Buka Min pukul 08.00"
"https://www.google.com/maps/place/Apotek+Sutami/data=!4m7!3m6!1s0x2e7883c3a588d64d:0xca029d42b0ecf515!8m2!3d-7.9608195!4d112.6133365!16s%2Fg%2F11j3fwyzpg!19sChIJTdaIpcODeC4RFfXssEKdAso?authuser=0&hl=id&rclk=1","Apotek Sutami","3,8","(154)","Apotek","·","Jl. Bendungan Sutami No.kavling 3","Tutup","·","0896-8141-0136","https://www.honestdocs.id/apotik/apotek-sutami-malang","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat strategis, parkiran luas,","· Buka Min pukul 07.00"
"https://www.google.com/maps/place/APOTEK+KONDANG+SEHAT/data=!4m7!3m6!1s0x2e788395b3fe59af:0x9b9e0c57ec3bacec!8m2!3d-7.9633018!4d112.609173!16s%2Fg%2F11mrl0bg_6!19sChIJr1n-s5WDeC4R7Kw77FcMnps?authuser=0&hl=id&rclk=1","APOTEK KONDANG SEHAT","4,5","(2)","Apotek","·","Jl.Raya Candi 3 A No.4 RT 01 RW 03 Desa Karang Besuki Kecamatan Sukun Kota","Tutup","· Buka Min pukul 07.00","0856-4515-9584","","","Rute","","","","","·"
"https://www.google.com/maps/place/Apotek+Firdan+Farma/data=!4m7!3m6!1s0x2e7883798236b541:0x4cb7709928bc4f6e!8m2!3d-7.9421084!4d112.6158277!16s%2Fg%2F11gh7dfzk9!19sChIJQbU2gnmDeC4Rbk-8KJlwt0w?authuser=0&hl=id&rclk=1","Apotek Firdan Farma","4,4","(13)","Apotek","·","Jl. Pisang Kipas No.10","Tutup","· Buka Sen pukul 08.00","0822-2911-4811","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ttk nya baik, pelayanannya ramah dan memberi rekomendasi obat yang tepat.""","·"
"https://www.google.com/maps/place/Kimia+Farma+No.+36+Malang/data=!4m7!3m6!1s0x2dd6282782cf313b:0x1764a47b197e3606!8m2!3d-7.9638742!4d112.6254717!16s%2Fg%2F11bc7td90n!19sChIJOzHPgico1i0RBjZ-GXukZBc?authuser=0&hl=id&rclk=1","Kimia Farma No. 36 Malang","3,8","(297)","Apotek","·","·","Buka 24 jam","Jl. Besar Ijen No.88","0811-3279-387","http://kimiafarmaapotek.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih, banyak buka Poli pemeriksaan dan menerima BPJS.""",""
"https://www.google.com/maps/place/Apotek+Bengawan+Solo/data=!4m7!3m6!1s0x2dd62835332a5cc7:0x4bc1b37d1a5a898b!8m2!3d-7.9643136!4d112.6403647!16s%2Fg%2F1hc2l408z!19sChIJx1wqMzUo1i0Ri4laGn2zwUs?authuser=0&hl=id&rclk=1","Apotek Bengawan Solo","3,9","(146)","Apotek","·","Jl. Tumenggung Suryo No.36","Buka 24 jam","","(0341) 470330","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan ramah, parkir gratis, n obatnya lengkap""","·"
"https://www.google.com/maps/place/Apotek+Holistic+Farma/data=!4m7!3m6!1s0x2dd629e4645702af:0x980b8f7c3abef866!8m2!3d-7.9455322!4d112.6208403!16s%2Fg%2F11grc8gdd0!19sChIJrwJXZOQp1i0RZvi-OnyPC5g?authuser=0&hl=id&rclk=1","Apotek Holistic Farma","4,8","(48)","Apotek","·","Jl. Cengkeh No.63","Tutup","·","(0341) 4376509","https://www.instagram.com/apotekholisticfarma/?hl=id","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dokternya ramah2 tempatnya enak obat dan penunjang medis lengkap""","· Buka Sen pukul 07.00"
"https://www.google.com/maps/place/Apotik+Mertojoyo/data=!4m7!3m6!1s0x2e78826cc19a8661:0x6c198f11de560548!8m2!3d-7.9445274!4d112.6039275!16s%2Fg%2F11fss1y42x!19sChIJYYaawWyCeC4RSAVW3hGPGWw?authuser=0&hl=id&rclk=1","Apotik Mertojoyo","3,4","(171)","Apotek","·","·","Tutup","Jl. Mertojoyo Jl. Mertojoyo Sel. No.7 Kav. 3. 83","0896-8141-0137","https://www.honestdocs.id/apotik/apotik-mertojoyo-malang","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga murah,pelayanan ok""","· Buka Min pukul 12.00"
"https://www.google.com/maps/place/Apotek+Mahameru+Karangbesuki/data=!4m7!3m6!1s0x2e78836a0501409d:0xca39be29e4e61212!8m2!3d-7.9632791!4d112.6089122!16s%2Fg%2F11z4cx46p9!19sChIJnUABBWqDeC4REhLm5Cm-Oco?authuser=0&hl=id&rclk=1","Apotek Mahameru Karangbesuki","5,0","(1)","Apotek","·","Jl. Raya Candi 3 No.12","Tutup","· Buka Min pukul 07.00","0857-2688-0812","","","Rute","","","","","·"
"https://www.google.com/maps/place/Apotek+Kuni+Medika/data=!4m7!3m6!1s0x2dd6297c5758aea9:0x241c76e6c1d2d57d!8m2!3d-7.9423974!4d112.6210944!16s%2Fg%2F11fth7jv46!19sChIJqa5YV3wp1i0RfdXSweZ2HCQ?authuser=0&hl=id&rclk=1","Apotek Kuni Medika","4,5","(2)","Apotek","·","Jl. Soekarno Hatta No.42","Tutup","· Buka Sen pukul 07.00","0821-2169-6565","","","Rute","","","","","·"
